product_id,categoria_portugues,categoria_ingles,total_reviews,rating_promedio,reseñas_negativas,reviews_con_comentario
422879e10f46682990de24d770e7f83d,ferramentas_jardim,garden_tools,95,1.17,95,64
99a4788cb24856965c36a24e339b6058,cama_mesa_banho,bed_bath_table,80,1.24,80,60
53759a2ecddad2bb87a079a1f1519f73,ferramentas_jardim,garden_tools,77,1.16,77,67
368c6c730842d78016ad823897a372db,ferramentas_jardim,garden_tools,75,1.13,75,61
aca2eb7d00ea1a7b8ebd4e68314663af,moveis_decoracao,furniture_decor,74,1.32,74,55
389d119b48cf3043d311335e499d9c6b,ferramentas_jardim,garden_tools,61,1.28,61,46
e53e557d5a159f5aa2c5e995dfdf244b,informatica_acessorios,computers_accessories,58,1.12,58,46
b532349fe46b38fbc7bb3914c1bdae07,moveis_decoracao,furniture_decor,52,1.15,52,41
36f60d45225e60c7da4558b070ce4b60,informatica_acessorios,computers_accessories,48,1.13,48,43
7c1bd920dbdf22470b68bde975dd3ccf,beleza_saude,health_beauty,45,1.18,45,35
e0d64dcfaa3b6db5c54ca298ae101d05,relogios_presentes,watches_gifts,43,1.33,43,30
a62e25e09e05e6faf31d90c6ec1aa3d1,relogios_presentes,watches_gifts,42,1.14,42,33
53b36df67ebb7c41585e8d54d6772e08,relogios_presentes,watches_gifts,42,1.33,42,27
d1c427060a0f73f6b889a5c7c61f2ac4,informatica_acessorios,computers_accessories,41,1.1,41,31
b5e13c9a353102f79c6206ff5cb61a50,brinquedos,toys,41,1.2,41,35
89b121bee266dcd25688a1ba72eefb61,informatica_acessorios,computers_accessories,40,1.15,40,37
2b4609f8948be18874494203496bc318,beleza_saude,health_beauty,40,1.18,40,31
362b773250263786dd58670d2df42c3b,esporte_lazer,sports_leisure,34,1.15,34,26
3dd2a17168ec895c781a9191c1e95ad7,informatica_acessorios,computers_accessories,31,1.1,31,23
0a57f7d2c983bcf8188589a5fea4a8da,relogios_presentes,watches_gifts,31,1.16,31,19
