customer_city,categoria,items_sold,category_revenue,avg_rating
belo horizonte,health_beauty,276,34056.88,4.26
belo horizonte,bed_bath_table,355,32343.38,3.83
belo horizonte,computers_accessories,261,25622.96,3.97
belo horizonte,watches_gifts,129,25148.01,4.31
belo horizonte,sports_leisure,216,23482.23,4.21
belo horizonte,housewares,246,22662.4,3.98
belo horizonte,furniture_decor,253,19110.87,3.9
belo horizonte,toys,143,17591.23,4.13
belo horizonte,auto,105,16081.01,4.03
belo horizonte,cool_stuff,91,13732.52,3.96
belo horizonte,baby,101,12107.47,3.84
belo horizonte,perfumery,92,11570.35,4.35
belo horizonte,garden_tools,124,11119.11,4.1
belo horizonte,pet_shop,68,8309.49,4.37
belo horizonte,telephony,97,7095.98,4.14
belo horizonte,musical_instruments,16,6944.99,3.4
belo horizonte,stationery,73,6136.65,4.38
belo horizonte,office_furniture,36,5995.76,3.47
belo horizonte,consoles_games,26,5439.01,4.35
belo horizonte,construction_tools_construction,24,4699.5,4.0
belo horizonte,small_appliances,14,4376.67,4.79
belo horizonte,electronics,66,3874.0,3.48
belo horizonte,fashion_bags_accessories,54,3644.23,4.17
belo horizonte,luggage_accessories,24,3013.7,4.33
belo horizonte,home_construction,18,2640.28,3.72
belo horizonte,furniture_living_room,12,2499.36,3.83
belo horizonte,small_appliances_home_oven_and_coffee,2,2070.9,5.0
belo horizonte,computers,2,2036.0,5.0
belo horizonte,home_appliances_2,9,1994.18,4.25
belo horizonte,home_confort,15,1973.09,4.27
belo horizonte,air_conditioning,4,1436.84,3.0
belo horizonte,audio,11,1421.19,3.45
belo horizonte,construction_tools_lights,4,1061.29,4.5
belo horizonte,food_drink,5,1032.46,4.0
belo horizonte,construction_tools_safety,8,1017.84,3.25
belo horizonte,kitchen_dining_laundry_garden_furniture,9,822.36,5.0
belo horizonte,costruction_tools_garden,11,782.8,3.36
belo horizonte,home_appliances,21,721.73,3.0
belo horizonte,books_general_interest,11,649.23,4.91
belo horizonte,fashion_shoes,12,634.4,4.33
belo horizonte,agro_industry_and_commerce,4,631.9,5.0
belo horizonte,signaling_and_security,6,496.9,3.67
belo horizonte,market_place,8,495.77,4.75
belo horizonte,drinks,7,485.96,4.71
belo horizonte,food,10,438.2,4.6
belo horizonte,art,6,416.87,4.67
belo horizonte,costruction_tools_tools,4,354.45,4.5
belo horizonte,furniture_bedroom,2,278.9,3.0
belo horizonte,fashion_male_clothing,4,269.6,3.75
belo horizonte,la_cuisine,2,266.0,5.0
belo horizonte,books_technical,3,225.88,5.0
belo horizonte,fashion_underwear_beach,1,152.0,5.0
belo horizonte,industry_commerce_and_business,1,79.0,5.0
belo horizonte,furniture_mattress_and_upholstery,1,75.0,5.0
belo horizonte,books_imported,1,65.0,5.0
belo horizonte,dvds_blu_ray,2,64.89,3.0
belo horizonte,music,1,52.9,1.0
belo horizonte,diapers_and_hygiene,1,43.0,5.0
belo horizonte,christmas_supplies,2,36.39,3.0
belo horizonte,flowers,2,33.2,5.0
belo horizonte,arts_and_craftmanship,1,25.0,5.0
belo horizonte,home_comfort_2,1,12.9,4.0
belo horizonte,fixed_telephony,1,10.99,5.0
rio de janeiro,watches_gifts,471,93067.74,3.81
rio de janeiro,health_beauty,578,87016.1,4.12
rio de janeiro,bed_bath_table,859,78557.86,3.65
rio de janeiro,sports_leisure,600,71434.46,3.79
rio de janeiro,computers_accessories,545,65408.21,3.91
rio de janeiro,furniture_decor,621,56317.82,3.67
rio de janeiro,toys,350,44183.64,4.17
rio de janeiro,cool_stuff,262,44010.99,3.92
rio de janeiro,housewares,490,43972.15,3.91
rio de janeiro,garden_tools,321,35470.86,3.58
rio de janeiro,office_furniture,197,30834.13,3.03
rio de janeiro,auto,195,28162.13,3.99
rio de janeiro,perfumery,233,28138.84,4.09
rio de janeiro,baby,177,24223.57,3.74
rio de janeiro,home_appliances_2,31,23188.02,4.32
rio de janeiro,stationery,170,17247.29,3.86
rio de janeiro,telephony,216,17103.66,3.98
rio de janeiro,fixed_telephony,23,15775.63,2.52
rio de janeiro,electronics,244,14967.01,3.82
rio de janeiro,pet_shop,114,13127.06,3.73
rio de janeiro,musical_instruments,42,12507.9,3.64
rio de janeiro,small_appliances,41,11777.58,4.44
rio de janeiro,air_conditioning,44,11099.09,4.0
rio de janeiro,construction_tools_construction,59,10347.4,3.28
rio de janeiro,consoles_games,77,10017.72,3.95
rio de janeiro,furniture_living_room,69,9404.35,3.65
rio de janeiro,computers,10,8737.49,4.0
rio de janeiro,fashion_bags_accessories,98,8004.23,4.17
rio de janeiro,luggage_accessories,65,7834.77,3.91
rio de janeiro,home_appliances,57,7299.79,4.18
rio de janeiro,audio,31,5265.57,3.79
rio de janeiro,agro_industry_and_commerce,20,5103.96,3.7
rio de janeiro,kitchen_dining_laundry_garden_furniture,31,5020.95,3.93
rio de janeiro,drinks,41,4675.08,4.44
