customer_city,customer_state,unique_customers,ticket_promedio,total_orders
sao paulo,SP,15402,107.53,15402
rio de janeiro,RJ,6834,126.65,6834
belo horizonte,MG,2750,113.11,2750
brasilia,DF,2116,126.22,2116
curitiba,PR,1510,120.92,1510
campinas,SP,1429,113.57,1429
porto alegre,RS,1372,118.21,1372
salvador,BA,1238,128.26,1238
guarulhos,SP,1178,108.55,1178
sao bernardo do campo,SP,928,98.62,928
niteroi,RJ,845,120.31,845
santo andre,SP,792,103.4,792
osasco,SP,742,96.66,742
santos,SP,706,120.46,706
goiania,GO,687,129.88,687
